EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_ACCURACY	TRAIN_F-SCORE	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_ACCURACY	DEV_F-SCORE	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_ACCURACY	TEST_F-SCORE
0	18:55:02	0	0.1000	0.11320606372174055		_	_	_	_	0.10435014218091965	0.3517	0.4323	0.2406	0.3879	_	0.3517	0.4415	0.2434	0.3915
1	18:56:11	0	0.1000	0.09477568685839602		_	_	_	_	0.13252344727516174	0.2924	0.3594	0.1922	0.3225	_	0.2712	0.3404	0.1778	0.3019
2	18:57:16	0	0.1000	0.09938588257214165		_	_	_	_	0.10759620368480682	0.3644	0.4479	0.2515	0.4019	_	0.2881	0.3617	0.191	0.3207
3	18:57:54	1	0.1000	0.09022356329153347		_	_	_	_	0.0980324074625969	0.3263	0.401	0.2194	0.3598	_	0.2754	0.3457	0.1811	0.3066
4	18:59:05	0	0.1000	0.09122057643220377		_	_	_	_	0.0984496995806694	0.3771	0.4635	0.2625	0.4159	_	0.3771	0.4734	0.2657	0.4198
5	18:59:42	1	0.1000	0.08828020399758228		_	_	_	_	0.09833703935146332	0.3771	0.4635	0.2625	0.4159	_	0.3898	0.4894	0.2771	0.434
6	19:00:45	0	0.1000	0.08812064438973878		_	_	_	_	0.09584657847881317	0.411	0.5052	0.2931	0.4533	_	0.4153	0.5213	0.3006	0.4623
7	19:01:48	0	0.1000	0.0821958022144631		_	_	_	_	0.14809180796146393	0.3686	0.4531	0.2551	0.4065	_	0.3771	0.4734	0.2657	0.4198
8	19:02:50	0	0.1000	0.0886867340158133		_	_	_	_	0.09151096642017365	0.4364	0.5365	0.3169	0.4813	_	0.3602	0.4521	0.2507	0.401
9	19:03:28	1	0.1000	0.08451260351932083		_	_	_	_	0.09155159443616867	0.4407	0.5417	0.321	0.486	_	0.3644	0.4574	0.2544	0.4056
